Date,Weekday,Group,Pageviews,Clicks,Enrollments,Payments,OutcomeComplete,CTP,GrossConversion,NetConversion,PayPerEnrollment
2014-10-11,Sat,Control,7723,687,134.0,70.0,True,0.08895506927359834,0.1950509461426492,0.10189228529839883,0.5223880597014925
2014-10-11,Sat,Experiment,7716,686,105.0,34.0,True,0.0889061689994816,0.15306122448979592,0.04956268221574344,0.3238095238095238
2014-10-12,Sun,Control,9102,779,147.0,70.0,True,0.08558558558558559,0.18870346598202825,0.08985879332477535,0.47619047619047616
2014-10-12,Sun,Experiment,9288,785,116.0,91.0,True,0.0845176571920758,0.14777070063694267,0.1159235668789809,0.7844827586206896
2014-10-13,Mon,Control,10511,909,167.0,95.0,True,0.0864808296070783,0.18371837183718373,0.10451045104510451,0.5688622754491018
2014-10-13,Mon,Experiment,10480,884,145.0,79.0,True,0.08435114503816794,0.16402714932126697,0.08936651583710407,0.5448275862068965
2014-10-14,Tue,Control,9871,836,156.0,105.0,True,0.08469253368453045,0.18660287081339713,0.1255980861244019,0.6730769230769231
2014-10-14,Tue,Experiment,9867,827,138.0,92.0,True,0.08381473598864904,0.16686819830713423,0.11124546553808948,0.6666666666666666
2014-10-15,Wed,Control,10014,837,163.0,64.0,True,0.0835829838226483,0.19474313022700118,0.07646356033452807,0.39263803680981596
2014-10-15,Wed,Experiment,9793,832,140.0,94.0,True,0.08495864392933729,0.16826923076923078,0.11298076923076923,0.6714285714285714
2014-10-16,Thu,Control,9670,823,138.0,82.0,True,0.08510858324715616,0.16767922235722965,0.09963547995139732,0.5942028985507246
2014-10-16,Thu,Experiment,9500,788,129.0,61.0,True,0.08294736842105263,0.16370558375634517,0.07741116751269035,0.4728682170542636
2014-10-17,Fri,Control,9008,748,146.0,76.0,True,0.0830373001776199,0.19518716577540107,0.10160427807486631,0.5205479452054794
2014-10-17,Fri,Experiment,9088,780,127.0,44.0,True,0.08582746478873239,0.16282051282051282,0.05641025641025641,0.3464566929133858
2014-10-18,Sat,Control,7434,632,110.0,70.0,True,0.08501479687920366,0.17405063291139242,0.11075949367088607,0.6363636363636364
2014-10-18,Sat,Experiment,7664,652,94.0,62.0,True,0.08507306889352818,0.1441717791411043,0.0950920245398773,0.6595744680851063
