Date,Control_CTP,Control_Clicks,Control_Enrollments,Control_GrossConversion,Control_NetConversion,Control_OutcomeComplete,Control_Pageviews,Control_PayPerEnrollment,Control_Payments,Control_Weekday,Experiment_CTP,Experiment_Clicks,Experiment_Enrollments,Experiment_GrossConversion,Experiment_NetConversion,Experiment_OutcomeComplete,Experiment_Pageviews,Experiment_PayPerEnrollment,Experiment_Payments,Experiment_Weekday
2014-10-11,0.08895506927359834,687,134.0,0.1950509461426492,0.10189228529839883,True,7723,0.5223880597014925,70.0,Sat,0.0889061689994816,686,105.0,0.15306122448979592,0.04956268221574344,True,7716,0.3238095238095238,34.0,Sat
2014-10-12,0.08558558558558559,779,147.0,0.18870346598202825,0.08985879332477535,True,9102,0.47619047619047616,70.0,Sun,0.0845176571920758,785,116.0,0.14777070063694267,0.1159235668789809,True,9288,0.7844827586206896,91.0,Sun
2014-10-13,0.0864808296070783,909,167.0,0.18371837183718373,0.10451045104510451,True,10511,0.5688622754491018,95.0,Mon,0.08435114503816794,884,145.0,0.16402714932126697,0.08936651583710407,True,10480,0.5448275862068965,79.0,Mon
2014-10-14,0.08469253368453045,836,156.0,0.18660287081339713,0.1255980861244019,True,9871,0.6730769230769231,105.0,Tue,0.08381473598864904,827,138.0,0.16686819830713423,0.11124546553808948,True,9867,0.6666666666666666,92.0,Tue
2014-10-15,0.0835829838226483,837,163.0,0.19474313022700118,0.07646356033452807,True,10014,0.39263803680981596,64.0,Wed,0.08495864392933729,832,140.0,0.16826923076923078,0.11298076923076923,True,9793,0.6714285714285714,94.0,Wed
2014-10-16,0.08510858324715616,823,138.0,0.16767922235722965,0.09963547995139732,True,9670,0.5942028985507246,82.0,Thu,0.08294736842105263,788,129.0,0.16370558375634517,0.07741116751269035,True,9500,0.4728682170542636,61.0,Thu
2014-10-17,0.0830373001776199,748,146.0,0.19518716577540107,0.10160427807486631,True,9008,0.5205479452054794,76.0,Fri,0.08582746478873239,780,127.0,0.16282051282051282,0.05641025641025641,True,9088,0.3464566929133858,44.0,Fri
2014-10-18,0.08501479687920366,632,110.0,0.17405063291139242,0.11075949367088607,True,7434,0.6363636363636364,70.0,Sat,0.08507306889352818,652,94.0,0.1441717791411043,0.0950920245398773,True,7664,0.6595744680851063,62.0,Sat
2014-10-19,0.0816881428064783,691,131.0,0.18958031837916064,0.08683068017366136,True,8459,0.4580152671755725,60.0,Sun,0.08264168840407873,697,120.0,0.17216642754662842,0.11047345767575323,True,8434,0.6416666666666667,77.0,Sun
2014-10-20,0.08071622761788694,861,165.0,0.1916376306620209,0.11265969802555169,True,10667,0.5878787878787879,97.0,Mon,0.0819359756097561,860,153.0,0.17790697674418604,0.11395348837209303,True,10496,0.6405228758169934,98.0,Mon
2014-10-21,0.08133208255159474,867,196.0,0.22606689734717417,0.12110726643598616,True,10660,0.5357142857142857,105.0,Tue,0.0818879727040091,864,143.0,0.16550925925925927,0.08217592592592593,True,10551,0.4965034965034965,71.0,Tue
2014-10-22,0.08424650648436714,838,162.0,0.19331742243436753,0.10978520286396182,True,9947,0.5679012345679012,92.0,Wed,0.0822635308616617,801,128.0,0.15980024968789014,0.08739076154806492,True,9737,0.546875,70.0,Wed
2014-10-23,0.07988947621335896,665,127.0,0.19097744360902255,0.08421052631578947,True,8324,0.4409448818897638,56.0,Thu,0.07852250489236791,642,122.0,0.19003115264797507,0.1059190031152648,True,8176,0.5573770491803278,68.0,Thu
2014-10-24,0.0713377146491414,673,220.0,0.32689450222882616,0.1812778603268945,True,9434,0.5545454545454546,122.0,Fri,0.07413316315677515,697,194.0,0.2783357245337159,0.13486370157819225,True,9402,0.4845360824742268,94.0,Fri
2014-10-25,0.07954414642569356,691,176.0,0.25470332850940663,0.18523878437047755,True,8687,0.7272727272727273,128.0,Sat,0.07717153074172338,669,127.0,0.1898355754857997,0.1210762331838565,True,8669,0.6377952755905512,81.0,Sat
2014-10-26,0.0795863309352518,708,161.0,0.2274011299435028,0.14689265536723164,True,8896,0.6459627329192547,104.0,Sun,0.07803175318094809,693,153.0,0.22077922077922077,0.14574314574314573,True,8881,0.6601307189542484,101.0,Sun
2014-10-27,0.07960146827477714,759,233.0,0.3069828722002635,0.16337285902503293,True,9535,0.5321888412017167,124.0,Mon,0.07985499741066805,771,213.0,0.27626459143968873,0.1543450064850843,True,9655,0.5586854460093896,119.0,Mon
2014-10-28,0.0786072839901741,736,154.0,0.20923913043478262,0.12364130434782608,True,9363,0.5909090909090909,91.0,Tue,0.07833120476798637,736,162.0,0.22010869565217392,0.16304347826086957,True,9396,0.7407407407407407,120.0,Tue
2014-10-29,0.07923233622815481,739,196.0,0.2652232746955345,0.11637347767253045,True,9327,0.4387755102040816,86.0,Wed,0.07849276614122219,727,201.0,0.2764786795048143,0.13204951856946354,True,9262,0.47761194029850745,96.0,Wed
